Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
2016-10-15 01:34:18.610808: step 0, loss = 4.67 (5.9 examples/sec; 21.874 sec/batch)
2016-10-15 01:36:15.832671: step 650, loss = 2.95 (696.6 examples/sec; 0.184 sec/batch)
2016-10-15 01:36:17.605225: step 660, loss = 3.01 (730.4 examples/sec; 0.175 sec/batch)
2016-10-15 01:36:19.387620: step 670, loss = 2.86 (684.5 examples/sec; 0.187 sec/batch)
2016-10-15 01:36:21.161506: step 680, loss = 2.84 (715.5 examples/sec; 0.179 sec/batch)
2016-10-15 01:36:22.933319: step 690, loss = 3.11 (748.3 examples/sec; 0.171 sec/batch)
2016-10-15 01:36:24.706780: step 700, loss = 2.90 (736.2 examples/sec; 0.174 sec/batch)
2016-10-15 01:36:26.661915: step 710, loss = 2.95 (725.5 examples/sec; 0.176 sec/batch)
2016-10-15 01:36:28.433041: step 720, loss = 3.01 (729.6 examples/sec; 0.175 sec/batch)
2016-10-15 01:36:30.207692: step 730, loss = 2.71 (716.9 examples/sec; 0.179 sec/batch)
2016-10-15 01:36:31.988240: step 740, loss = 2.69 (690.8 examples/sec; 0.185 sec/batch)
2016-10-15 01:36:33.752642: step 750, loss = 2.80 (732.1 examples/sec; 0.175 sec/batch)
2016-10-15 01:36:35.535272: step 760, loss = 2.76 (730.0 examples/sec; 0.175 sec/batch)
2016-10-15 01:36:37.307126: step 770, loss = 2.74 (720.3 examples/sec; 0.178 sec/batch)
2016-10-15 01:36:39.077367: step 780, loss = 2.80 (721.7 examples/sec; 0.177 sec/batch)
2016-10-15 01:36:40.847842: step 790, loss = 2.65 (743.9 examples/sec; 0.172 sec/batch)
2016-10-15 01:36:42.625323: step 800, loss = 2.66 (727.8 examples/sec; 0.176 sec/batch)
2016-10-15 01:36:44.588340: step 810, loss = 2.83 (714.8 examples/sec; 0.179 sec/batch)
2016-10-15 01:36:46.361873: step 820, loss = 2.73 (725.1 examples/sec; 0.177 sec/batch)
2016-10-15 01:36:48.141755: step 830, loss = 2.62 (697.0 examples/sec; 0.184 sec/batch)
2016-10-15 01:36:49.905283: step 840, loss = 2.73 (710.9 examples/sec; 0.180 sec/batch)
2016-10-15 01:36:51.674769: step 850, loss = 2.67 (714.8 examples/sec; 0.179 sec/batch)
2016-10-15 01:36:53.447876: step 860, loss = 2.57 (722.2 examples/sec; 0.177 sec/batch)
2016-10-15 01:36:55.222687: step 870, loss = 2.58 (723.7 examples/sec; 0.177 sec/batch)
2016-10-15 01:36:56.994331: step 880, loss = 2.55 (714.9 examples/sec; 0.179 sec/batch)
2016-10-15 01:36:58.770679: step 890, loss = 2.51 (720.2 examples/sec; 0.178 sec/batch)
2016-10-15 01:37:00.543163: step 900, loss = 2.57 (730.2 examples/sec; 0.175 sec/batch)
2016-10-15 01:37:02.509109: step 910, loss = 2.66 (724.9 examples/sec; 0.177 sec/batch)
2016-10-15 01:37:04.282024: step 920, loss = 2.55 (730.1 examples/sec; 0.175 sec/batch)
2016-10-15 01:37:06.062391: step 930, loss = 2.62 (712.8 examples/sec; 0.180 sec/batch)
2016-10-15 01:37:07.837429: step 940, loss = 2.40 (709.0 examples/sec; 0.181 sec/batch)
2016-10-15 01:37:09.622950: step 950, loss = 2.72 (712.2 examples/sec; 0.180 sec/batch)
2016-10-15 01:37:11.404211: step 960, loss = 2.24 (707.2 examples/sec; 0.181 sec/batch)
2016-10-15 01:37:13.188128: step 970, loss = 2.54 (710.1 examples/sec; 0.180 sec/batch)
2016-10-15 01:37:14.968851: step 980, loss = 2.49 (723.2 examples/sec; 0.177 sec/batch)
2016-10-15 01:37:16.742682: step 990, loss = 2.54 (739.3 examples/sec; 0.173 sec/batch)
2016-10-15 01:37:18.514493: step 1000, loss = 2.45 (756.7 examples/sec; 0.169 sec/batch)
2016-10-15 01:37:20.982482: step 1010, loss = 2.35 (719.6 examples/sec; 0.178 sec/batch)
2016-10-15 01:37:22.760090: step 1020, loss = 2.27 (736.7 examples/sec; 0.174 sec/batch)
2016-10-15 01:37:24.544508: step 1030, loss = 2.32 (713.4 examples/sec; 0.179 sec/batch)
2016-10-15 01:37:26.318286: step 1040, loss = 2.54 (716.2 examples/sec; 0.179 sec/batch)
2016-10-15 01:37:28.097345: step 1050, loss = 2.62 (701.4 examples/sec; 0.182 sec/batch)
2016-10-15 01:37:29.882366: step 1060, loss = 2.43 (729.7 examples/sec; 0.175 sec/batch)
2016-10-15 01:37:31.659794: step 1070, loss = 2.18 (725.0 examples/sec; 0.177 sec/batch)
2016-10-15 01:37:33.438727: step 1080, loss = 2.23 (704.6 examples/sec; 0.182 sec/batch)
2016-10-15 01:37:35.227681: step 1090, loss = 2.32 (719.5 examples/sec; 0.178 sec/batch)
2016-10-15 01:37:37.010434: step 1100, loss = 2.31 (711.0 examples/sec; 0.180 sec/batch)
2016-10-15 01:37:38.986698: step 1110, loss = 2.36 (750.2 examples/sec; 0.171 sec/batch)
2016-10-15 01:37:40.768080: step 1120, loss = 2.19 (720.7 examples/sec; 0.178 sec/batch)
2016-10-15 01:37:42.543259: step 1130, loss = 2.33 (728.2 examples/sec; 0.176 sec/batch)
2016-10-15 01:37:44.328633: step 1140, loss = 2.45 (699.4 examples/sec; 0.183 sec/batch)
2016-10-15 01:37:46.101486: step 1150, loss = 2.27 (717.8 examples/sec; 0.178 sec/batch)
2016-10-15 01:37:47.870937: step 1160, loss = 2.38 (720.2 examples/sec; 0.178 sec/batch)
2016-10-15 01:37:49.653930: step 1170, loss = 2.29 (710.9 examples/sec; 0.180 sec/batch)
2016-10-15 01:37:51.425627: step 1180, loss = 2.22 (710.4 examples/sec; 0.180 sec/batch)
2016-10-15 01:37:53.207640: step 1190, loss = 2.16 (694.0 examples/sec; 0.184 sec/batch)
2016-10-15 01:37:54.980122: step 1200, loss = 2.36 (722.3 examples/sec; 0.177 sec/batch)
2016-10-15 01:37:56.934850: step 1210, loss = 2.17 (727.2 examples/sec; 0.176 sec/batch)
2016-10-15 01:37:58.707857: step 1220, loss = 2.27 (760.2 examples/sec; 0.168 sec/batch)
2016-10-15 01:38:00.470324: step 1230, loss = 2.42 (768.1 examples/sec; 0.167 sec/batch)
2016-10-15 01:38:02.249806: step 1240, loss = 2.23 (701.4 examples/sec; 0.183 sec/batch)
2016-10-15 01:38:04.022795: step 1250, loss = 2.21 (735.4 examples/sec; 0.174 sec/batch)
2016-10-15 01:38:05.805150: step 1260, loss = 2.07 (709.0 examples/sec; 0.181 sec/batch)
2016-10-15 01:38:07.572150: step 1270, loss = 2.20 (733.7 examples/sec; 0.174 sec/batch)
2016-10-15 01:38:09.343902: step 1280, loss = 2.04 (717.9 examples/sec; 0.178 sec/batch)
2016-10-15 01:38:11.111189: step 1290, loss = 2.07 (725.0 examples/sec; 0.177 sec/batch)
2016-10-15 01:38:12.879480: step 1300, loss = 2.00 (722.4 examples/sec; 0.177 sec/batch)
2016-10-15 01:38:14.834057: step 1310, loss = 2.19 (719.9 examples/sec; 0.178 sec/batch)
2016-10-15 01:38:16.609116: step 1320, loss = 1.98 (714.8 examples/sec; 0.179 sec/batch)
2016-10-15 01:38:18.369777: step 1330, loss = 2.26 (733.8 examples/sec; 0.174 sec/batch)
2016-10-15 01:38:20.145248: step 1340, loss = 1.93 (748.6 examples/sec; 0.171 sec/batch)
2016-10-15 01:38:21.915378: step 1350, loss = 2.14 (724.2 examples/sec; 0.177 sec/batch)
2016-10-15 01:38:23.686794: step 1360, loss = 2.07 (710.5 examples/sec; 0.180 sec/batch)
2016-10-15 01:38:25.468090: step 1370, loss = 2.19 (738.7 examples/sec; 0.173 sec/batch)
2016-10-15 01:38:27.256427: step 1380, loss = 2.13 (691.4 examples/sec; 0.185 sec/batch)
2016-10-15 01:38:29.017945: step 1390, loss = 2.21 (742.0 examples/sec; 0.173 sec/batch)
2016-10-15 01:38:30.786809: step 1400, loss = 1.91 (731.6 examples/sec; 0.175 sec/batch)
2016-10-15 01:38:32.742784: step 1410, loss = 2.11 (739.3 examples/sec; 0.173 sec/batch)
2016-10-15 01:38:34.509184: step 1420, loss = 2.11 (717.6 examples/sec; 0.178 sec/batch)
2016-10-15 01:38:36.290961: step 1430, loss = 1.92 (718.2 examples/sec; 0.178 sec/batch)
2016-10-15 01:38:38.055031: step 1440, loss = 2.08 (740.2 examples/sec; 0.173 sec/batch)
2016-10-15 01:38:39.826157: step 1450, loss = 2.00 (748.7 examples/sec; 0.171 sec/batch)
2016-10-15 01:38:41.588595: step 1460, loss = 1.99 (723.8 examples/sec; 0.177 sec/batch)
2016-10-15 01:38:43.352630: step 1470, loss = 2.07 (718.3 examples/sec; 0.178 sec/batch)
2016-10-15 01:38:45.125414: step 1480, loss = 2.10 (722.1 examples/sec; 0.177 sec/batch)
2016-10-15 01:38:46.875223: step 1490, loss = 2.04 (727.4 examples/sec; 0.176 sec/batch)
2016-10-15 01:38:48.640191: step 1500, loss = 1.93 (718.1 examples/sec; 0.178 sec/batch)
2016-10-15 01:38:50.608658: step 1510, loss = 1.95 (715.6 examples/sec; 0.179 sec/batch)
2016-10-15 01:38:52.368566: step 1520, loss = 1.89 (717.5 examples/sec; 0.178 sec/batch)
2016-10-15 01:38:54.153251: step 1530, loss = 1.99 (698.7 examples/sec; 0.183 sec/batch)
2016-10-15 01:38:55.908075: step 1540, loss = 1.98 (731.1 examples/sec; 0.175 sec/batch)
2016-10-15 01:38:57.676717: step 1550, loss = 2.09 (735.5 examples/sec; 0.174 sec/batch)
2016-10-15 01:38:59.450876: step 1560, loss = 1.90 (705.3 examples/sec; 0.181 sec/batch)
2016-10-15 01:39:01.215547: step 1570, loss = 1.86 (717.3 examples/sec; 0.178 sec/batch)
2016-10-15 01:39:02.985037: step 1580, loss = 2.08 (743.6 examples/sec; 0.172 sec/batch)
2016-10-15 01:39:04.752951: step 1590, loss = 1.85 (743.2 examples/sec; 0.172 sec/batch)
2016-10-15 01:39:06.516396: step 1600, loss = 1.80 (721.6 examples/sec; 0.177 sec/batch)
2016-10-15 01:39:08.463056: step 1610, loss = 1.81 (734.5 examples/sec; 0.174 sec/batch)
2016-10-15 01:39:10.232027: step 1620, loss = 1.66 (752.5 examples/sec; 0.170 sec/batch)
2016-10-15 01:39:11.993766: step 1630, loss = 1.91 (710.0 examples/sec; 0.180 sec/batch)
2016-10-15 01:39:13.767571: step 1640, loss = 1.74 (729.9 examples/sec; 0.175 sec/batch)
2016-10-15 01:39:15.517990: step 1650, loss = 1.76 (717.3 examples/sec; 0.178 sec/batch)
2016-10-15 01:39:17.290284: step 1660, loss = 2.02 (704.2 examples/sec; 0.182 sec/batch)
2016-10-15 01:39:19.054850: step 1670, loss = 1.91 (736.1 examples/sec; 0.174 sec/batch)
2016-10-15 01:39:20.816843: step 1680, loss = 1.80 (725.6 examples/sec; 0.176 sec/batch)
2016-10-15 01:39:22.579498: step 1690, loss = 1.75 (724.8 examples/sec; 0.177 sec/batch)
2016-10-15 01:39:24.342183: step 1700, loss = 1.86 (732.4 examples/sec; 0.175 sec/batch)
2016-10-15 01:39:26.307519: step 1710, loss = 1.72 (721.8 examples/sec; 0.177 sec/batch)
2016-10-15 01:39:28.075002: step 1720, loss = 1.92 (733.2 examples/sec; 0.175 sec/batch)
2016-10-15 01:39:29.842624: step 1730, loss = 1.96 (752.6 examples/sec; 0.170 sec/batch)
2016-10-15 01:39:31.608648: step 1740, loss = 1.86 (683.7 examples/sec; 0.187 sec/batch)
2016-10-15 01:39:33.371490: step 1750, loss = 1.69 (718.7 examples/sec; 0.178 sec/batch)
2016-10-15 01:39:35.132086: step 1760, loss = 1.58 (719.2 examples/sec; 0.178 sec/batch)
2016-10-15 01:39:36.891728: step 1770, loss = 1.74 (746.4 examples/sec; 0.171 sec/batch)
2016-10-15 01:39:38.653591: step 1780, loss = 1.70 (735.9 examples/sec; 0.174 sec/batch)
2016-10-15 01:39:40.421125: step 1790, loss = 1.76 (715.5 examples/sec; 0.179 sec/batch)
2016-10-15 01:39:42.188690: step 1800, loss = 1.91 (719.0 examples/sec; 0.178 sec/batch)
2016-10-15 01:39:44.147588: step 1810, loss = 1.62 (744.5 examples/sec; 0.172 sec/batch)
2016-10-15 01:39:45.904749: step 1820, loss = 1.78 (737.1 examples/sec; 0.174 sec/batch)
2016-10-15 01:39:47.661879: step 1830, loss = 1.70 (728.4 examples/sec; 0.176 sec/batch)
2016-10-15 01:39:49.421156: step 1840, loss = 1.62 (717.6 examples/sec; 0.178 sec/batch)
2016-10-15 01:39:51.173602: step 1850, loss = 1.82 (733.0 examples/sec; 0.175 sec/batch)
2016-10-15 01:39:52.944106: step 1860, loss = 1.59 (701.4 examples/sec; 0.182 sec/batch)
2016-10-15 01:39:54.703712: step 1870, loss = 1.69 (710.8 examples/sec; 0.180 sec/batch)
2016-10-15 01:39:56.460448: step 1880, loss = 1.76 (721.4 examples/sec; 0.177 sec/batch)
2016-10-15 01:39:58.212544: step 1890, loss = 1.75 (726.9 examples/sec; 0.176 sec/batch)
2016-10-15 01:39:59.974770: step 1900, loss = 1.75 (726.3 examples/sec; 0.176 sec/batch)
2016-10-15 01:40:01.946655: step 1910, loss = 1.84 (698.4 examples/sec; 0.183 sec/batch)
2016-10-15 01:40:03.704211: step 1920, loss = 1.50 (711.9 examples/sec; 0.180 sec/batch)
2016-10-15 01:40:05.474384: step 1930, loss = 1.60 (731.1 examples/sec; 0.175 sec/batch)
2016-10-15 01:40:07.228290: step 1940, loss = 1.76 (721.1 examples/sec; 0.178 sec/batch)
2016-10-15 01:40:08.989078: step 1950, loss = 1.77 (705.5 examples/sec; 0.181 sec/batch)
2016-10-15 01:40:10.748337: step 1960, loss = 1.73 (725.6 examples/sec; 0.176 sec/batch)
2016-10-15 01:40:12.499199: step 1970, loss = 1.83 (735.3 examples/sec; 0.174 sec/batch)
2016-10-15 01:40:14.277149: step 1980, loss = 1.59 (688.6 examples/sec; 0.186 sec/batch)
2016-10-15 01:40:16.025444: step 1990, loss = 1.56 (725.5 examples/sec; 0.176 sec/batch)
2016-10-15 01:40:17.783495: step 2000, loss = 1.74 (718.2 examples/sec; 0.178 sec/batch)
2016-10-15 01:40:20.289444: step 2010, loss = 1.85 (737.0 examples/sec; 0.174 sec/batch)
2016-10-15 01:40:22.050516: step 2020, loss = 1.49 (735.5 examples/sec; 0.174 sec/batch)
2016-10-15 01:40:23.805577: step 2030, loss = 1.63 (729.9 examples/sec; 0.175 sec/batch)
2016-10-15 01:40:25.567801: step 2040, loss = 1.56 (717.0 examples/sec; 0.179 sec/batch)
2016-10-15 01:40:27.325770: step 2050, loss = 1.52 (724.8 examples/sec; 0.177 sec/batch)
2016-10-15 01:40:29.082809: step 2060, loss = 1.63 (727.7 examples/sec; 0.176 sec/batch)
2016-10-15 01:40:30.841306: step 2070, loss = 1.56 (736.3 examples/sec; 0.174 sec/batch)
2016-10-15 01:40:32.607491: step 2080, loss = 1.77 (725.5 examples/sec; 0.176 sec/batch)
2016-10-15 01:40:34.366854: step 2090, loss = 1.49 (729.1 examples/sec; 0.176 sec/batch)
2016-10-15 01:40:36.130436: step 2100, loss = 1.47 (761.9 examples/sec; 0.168 sec/batch)
2016-10-15 01:40:38.072242: step 2110, loss = 1.59 (733.5 examples/sec; 0.175 sec/batch)
2016-10-15 01:40:39.834844: step 2120, loss = 1.40 (738.9 examples/sec; 0.173 sec/batch)
2016-10-15 01:40:41.599839: step 2130, loss = 1.57 (704.2 examples/sec; 0.182 sec/batch)
2016-10-15 01:40:43.361360: step 2140, loss = 1.57 (725.4 examples/sec; 0.176 sec/batch)
2016-10-15 01:40:45.122669: step 2150, loss = 1.60 (740.9 examples/sec; 0.173 sec/batch)
2016-10-15 01:40:46.879708: step 2160, loss = 1.70 (725.5 examples/sec; 0.176 sec/batch)
2016-10-15 01:40:48.641067: step 2170, loss = 1.72 (709.7 examples/sec; 0.180 sec/batch)
2016-10-15 01:40:50.404243: step 2180, loss = 1.32 (721.0 examples/sec; 0.178 sec/batch)
2016-10-15 01:40:52.158060: step 2190, loss = 1.66 (715.2 examples/sec; 0.179 sec/batch)
2016-10-15 01:40:53.914399: step 2200, loss = 1.77 (725.0 examples/sec; 0.177 sec/batch)
2016-10-15 01:40:55.864949: step 2210, loss = 1.54 (738.1 examples/sec; 0.173 sec/batch)
2016-10-15 01:40:57.618984: step 2220, loss = 1.39 (756.0 examples/sec; 0.169 sec/batch)
2016-10-15 01:40:59.379134: step 2230, loss = 1.48 (705.6 examples/sec; 0.181 sec/batch)
2016-10-15 01:41:01.140023: step 2240, loss = 1.62 (717.8 examples/sec; 0.178 sec/batch)
2016-10-15 01:41:02.894050: step 2250, loss = 1.25 (740.9 examples/sec; 0.173 sec/batch)
2016-10-15 01:41:04.649814: step 2260, loss = 1.51 (796.5 examples/sec; 0.161 sec/batch)
2016-10-15 01:41:06.406271: step 2270, loss = 1.35 (735.3 examples/sec; 0.174 sec/batch)
2016-10-15 01:41:08.168519: step 2280, loss = 1.49 (706.2 examples/sec; 0.181 sec/batch)
2016-10-15 01:41:09.917681: step 2290, loss = 1.45 (749.1 examples/sec; 0.171 sec/batch)
2016-10-15 01:41:11.679637: step 2300, loss = 1.50 (748.6 examples/sec; 0.171 sec/batch)
2016-10-15 01:41:13.629206: step 2310, loss = 1.40 (711.5 examples/sec; 0.180 sec/batch)
2016-10-15 01:41:15.392608: step 2320, loss = 1.59 (728.4 examples/sec; 0.176 sec/batch)
2016-10-15 01:41:17.150814: step 2330, loss = 1.76 (715.9 examples/sec; 0.179 sec/batch)
2016-10-15 01:41:18.913065: step 2340, loss = 1.81 (731.3 examples/sec; 0.175 sec/batch)
2016-10-15 01:41:20.670095: step 2350, loss = 1.46 (735.9 examples/sec; 0.174 sec/batch)
2016-10-15 01:41:22.426035: step 2360, loss = 1.31 (717.2 examples/sec; 0.178 sec/batch)
2016-10-15 01:41:24.182383: step 2370, loss = 1.50 (715.7 examples/sec; 0.179 sec/batch)
2016-10-15 01:41:25.932914: step 2380, loss = 1.47 (729.0 examples/sec; 0.176 sec/batch)
2016-10-15 01:41:27.686114: step 2390, loss = 1.45 (711.2 examples/sec; 0.180 sec/batch)
2016-10-15 01:41:29.429876: step 2400, loss = 1.40 (740.9 examples/sec; 0.173 sec/batch)
2016-10-15 01:41:31.369415: step 2410, loss = 1.47 (743.1 examples/sec; 0.172 sec/batch)
2016-10-15 01:41:33.137232: step 2420, loss = 1.48 (710.9 examples/sec; 0.180 sec/batch)
2016-10-15 01:41:34.899103: step 2430, loss = 1.33 (712.3 examples/sec; 0.180 sec/batch)
2016-10-15 01:41:36.653905: step 2440, loss = 1.53 (735.6 examples/sec; 0.174 sec/batch)
2016-10-15 01:41:38.414766: step 2450, loss = 1.35 (726.0 examples/sec; 0.176 sec/batch)
2016-10-15 01:41:40.171695: step 2460, loss = 1.43 (743.2 examples/sec; 0.172 sec/batch)
2016-10-15 01:41:41.931978: step 2470, loss = 1.58 (723.4 examples/sec; 0.177 sec/batch)
2016-10-15 01:41:43.678681: step 2480, loss = 1.32 (744.5 examples/sec; 0.172 sec/batch)
2016-10-15 01:41:45.443689: step 2490, loss = 1.53 (741.4 examples/sec; 0.173 sec/batch)
2016-10-15 01:41:47.202193: step 2500, loss = 1.69 (740.6 examples/sec; 0.173 sec/batch)
2016-10-15 01:41:49.151568: step 2510, loss = 1.58 (721.4 examples/sec; 0.177 sec/batch)
2016-10-15 01:41:50.907675: step 2520, loss = 1.57 (757.3 examples/sec; 0.169 sec/batch)
2016-10-15 01:41:52.672806: step 2530, loss = 1.39 (745.1 examples/sec; 0.172 sec/batch)
2016-10-15 01:41:54.436477: step 2540, loss = 1.30 (708.1 examples/sec; 0.181 sec/batch)
2016-10-15 01:41:56.193188: step 2550, loss = 1.27 (723.0 examples/sec; 0.177 sec/batch)
2016-10-15 01:41:57.950383: step 2560, loss = 1.40 (731.3 examples/sec; 0.175 sec/batch)
2016-10-15 01:41:59.701391: step 2570, loss = 1.20 (722.5 examples/sec; 0.177 sec/batch)
2016-10-15 01:42:01.461404: step 2580, loss = 1.35 (737.9 examples/sec; 0.173 sec/batch)
2016-10-15 01:42:03.227698: step 2590, loss = 1.45 (708.0 examples/sec; 0.181 sec/batch)
2016-10-15 01:42:04.987449: step 2600, loss = 1.54 (776.3 examples/sec; 0.165 sec/batch)
2016-10-15 01:42:06.920158: step 2610, loss = 1.31 (709.7 examples/sec; 0.180 sec/batch)
2016-10-15 01:42:08.680719: step 2620, loss = 1.57 (744.0 examples/sec; 0.172 sec/batch)
2016-10-15 01:42:10.438268: step 2630, loss = 1.37 (720.7 examples/sec; 0.178 sec/batch)
2016-10-15 01:42:12.197921: step 2640, loss = 1.39 (738.9 examples/sec; 0.173 sec/batch)
2016-10-15 01:42:13.960055: step 2650, loss = 1.45 (774.8 examples/sec; 0.165 sec/batch)
2016-10-15 01:42:15.715413: step 2660, loss = 1.41 (717.2 examples/sec; 0.178 sec/batch)
2016-10-15 01:42:17.481581: step 2670, loss = 1.27 (726.5 examples/sec; 0.176 sec/batch)
